xF_bin,mass_bin,N_events,avg_efficiency,stat_error,propagated_error,inv_avg_efficiency,inv_propagated_error
"[0.0, 0.05)","[4.2, 4.5)",1,0.0,0.0,0.0,,
"[0.0, 0.05)","[4.5, 4.8)",9,0.13777777777777778,0.08779574749646846,0.024770552010675503,7.258064516129032,1.3049003075342844
"[0.0, 0.05)","[4.8, 5.1)",40,0.8807200275,0.08267781393323974,0.02090848609009021,1.1354346089285452,0.026955465966157447
"[0.0, 0.05)","[5.1, 5.4)",72,0.6520922052777779,0.016733295231780337,0.021639890860386077,1.5335254614399516,0.050890538713075834
"[0.0, 0.05)","[5.4, 5.7)",66,0.6727610633333333,0.02618468204101787,0.011934294386634757,1.4864118250918,0.026367870061515888
"[0.0, 0.05)","[5.7, 6.0)",37,0.5828404748108108,0.0505446220367733,0.01743497975935123,1.715735339630623,0.05132418253652254
"[0.0, 0.05)","[6.0, 6.3)",26,0.6368719015384616,0.044520393518676614,0.019012941117089937,1.570174469283928,0.046875415065317276
"[0.0, 0.05)","[6.3, 6.6)",15,0.5970055026666666,0.05320017652307396,0.03133086270039635,1.6750264369980894,0.08790542647045425
"[0.0, 0.05)","[6.6, 6.9)",12,0.7055278583333333,0.0393987948448713,0.024967281377354034,1.417378475121163,0.050158313082281775
"[0.0, 0.05)","[6.9, 7.5)",9,0.6252915111111111,0.0865405453139084,0.027221039969899826,1.5992540794661532,0.06962090232412871
"[0.0, 0.05)","[7.5, 8.7)",1,0.60658386,0.0,0.059532504,1.648576670008991,0.1617977392303464
"[0.05, 0.1)","[4.2, 4.5)",2,0.0,0.0,0.0,,
"[0.05, 0.1)","[4.5, 4.8)",39,0.27460941538461536,0.05164368622480158,0.022176362220114425,3.6415357375835398,0.29407591666526806
"[0.05, 0.1)","[4.8, 5.1)",81,0.5003731720987654,0.03598596582306781,0.018483819426375843,1.998508424833409,0.07382503880407919
"[0.05, 0.1)","[5.1, 5.4)",95,0.7205961134736841,0.03805689299550126,0.00989863448368336,1.3877399299025217,0.019063009177635662
"[0.05, 0.1)","[5.4, 5.7)",77,0.6718340903896103,0.01920687332128508,0.012207374360849291,1.4884627236168972,0.027045697664468817
"[0.05, 0.1)","[5.7, 6.0)",53,0.737923471698113,0.02307495681430051,0.012202627400238537,1.3551540753932048,0.02240942439991007
"[0.05, 0.1)","[6.0, 6.3)",39,0.7317944578461537,0.03248290797158214,0.011698947434495557,1.3665039264484722,0.021845830387408262
"[0.05, 0.1)","[6.3, 6.6)",25,0.5963640712000001,0.03793783723981546,0.020356606160902783,1.6768280456396478,0.05723773408407609
"[0.05, 0.1)","[6.6, 6.9)",5,0.5669569708,0.12154278991362813,0.03818347446275554,1.7638022839527985,0.11878873165917793
"[0.05, 0.1)","[6.9, 7.5)",7,0.6487344457142857,0.07644064408193066,0.026788675776199762,1.541462776651169,0.06365277320725976
"[0.05, 0.1)","[7.5, 8.7)",6,0.5979337066666666,0.10949967668342055,0.026968464489962096,1.6724262051971517,0.07543104900103105
"[0.1, 0.15)","[4.2, 4.5)",31,13.21532468387097,3.469085396935431,0.014410249322274138,0.07566972616423714,8.251175406274372e-05
"[0.1, 0.15)","[4.5, 4.8)",96,0.5701203995833333,0.028406250901893727,0.017277437154089647,1.754015468891904,0.05315524940561499
"[0.1, 0.15)","[4.8, 5.1)",137,0.622365520729927,0.015131183786771253,0.01438914061220183,1.606772815478552,0.03714871599356671
"[0.1, 0.15)","[5.1, 5.4)",132,0.5964849307575757,0.015213494938979317,0.01136859885539626,1.676488287356955,0.03195273148061746
"[0.1, 0.15)","[5.4, 5.7)",87,0.6659178839770116,0.024738061291254197,0.009142638730675274,1.501686655459341,0.02061722459764235
"[0.1, 0.15)","[5.7, 6.0)",76,0.6958062387368421,0.01832573600691617,0.008767908124942358,1.437181709976311,0.01811003766622686
"[0.1, 0.15)","[6.0, 6.3)",52,0.7144649638461539,0.026284512466429835,0.010168127538513054,1.39964875900525,0.019919531132882043
"[0.1, 0.15)","[6.3, 6.6)",28,0.7879065457142859,0.02183898367504216,0.011290070426070688,1.2691860544113622,0.018186420732297332
"[0.1, 0.15)","[6.6, 6.9)",10,0.75179546,0.04456422685627967,0.01933700622377062,1.3301490275027732,0.034212896182378605
"[0.1, 0.15)","[6.9, 7.5)",11,0.67976688,0.04054172225354529,0.016650193341485955,1.4710925604377785,0.03603290521378539
"[0.1, 0.15)","[7.5, 8.7)",7,0.7011034314285715,0.03523987859445802,0.01402342449329722,1.4263230718503197,0.028529219804822058
"[0.15, 0.2)","[4.2, 4.5)",82,1.1303791202439024,0.10969737004971301,0.011954939913724687,0.8846589450309641,0.00935619239826568
"[0.15, 0.2)","[4.5, 4.8)",167,0.6997385419161677,0.0217154782769224,0.013158135647740482,1.4291052158733386,0.026873409364962055
"[0.15, 0.2)","[4.8, 5.1)",231,0.5372673157575757,0.009780150165772305,0.008795919567448856,1.8612708621404719,0.030471961194101234
"[0.15, 0.2)","[5.1, 5.4)",201,0.6974439512437811,0.012591675029025487,0.006985653072872054,1.4338069721827222,0.014361122586655912
"[0.15, 0.2)","[5.4, 5.7)",113,0.6924806800000001,0.021413825194872248,0.008664987460608634,1.4440836096683591,0.018069769643027127
