Mass Bin,Mass Center,LD2 Mass Bin Average,N_LD2_total,N_LD2_mixed,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LD2 (num),Corrected Yield LD2 (denom)
"[4.20, 4.50)",4.35,4.341879225669461,1170,148,1098,122,49,6,0.5773189126493148,0.5635845375963591,0.5641408447917078,7010.1954982901325,1614.5533152662144
"[4.50, 4.80)",4.65,4.643370117488724,954,74,865,53,24,3,0.5845173165973585,0.5668042186011065,0.5344936518611281,6698.615481806177,1442.6193287019285
"[4.80, 5.10)",4.949999999999999,4.936302062487153,708,36,652,36,17,0,0.5819791832026386,0.5596746296103411,0.5442852090839803,5498.823569776022,1113.9560545866277
"[5.10, 5.40)",5.25,5.247576904491516,457,20,419,12,13,1,0.5832978266058066,0.5731077715228008,0.5519727729325701,3687.4393958852406,702.6937314113644
"[5.40, 5.70)",5.550000000000001,5.527849294552382,311,5,298,7,6,0,0.5726621031560565,0.5661751174212766,0.515625553435991,2799.936231002866,506.5145740789576
"[5.70, 6.00)",5.85,5.849680756776209,212,6,162,4,5,1,0.5965544833339398,0.5621560422990315,0.5296002933517617,2020.1434204891166,345.342507477695
"[6.00, 6.30)",6.15,6.156324034294931,125,1,137,2,2,0,0.6117694005361738,0.5794737503979509,0.5876438120121935,1249.8534149879429,203.01943302941908
"[6.30, 6.60)",6.449999999999999,6.4306957115588865,84,4,84,0,1,0,0.5974456934342476,0.5622502569861825,0.5455149918241936,874.9931330231165,136.06508102231547
"[6.60, 6.90)",6.75,6.718431732926399,49,1,40,0,1,0,0.598540229775766,0.566995773817778,0.587882941893964,536.1341789847912,79.80049515979276
"[6.90, 7.50)",7.2,7.154763077086054,39,0,32,1,2,0,0.5500664036243241,0.5680426719107141,0.6199107301418529,432.57161548823615,60.45925082740981
"[7.50, 8.70)",8.1,7.832319643441349,8,0,9,0,1,0,0.5674444262813823,0.5174975659106058,0.5270158990055794,85.26655542430365,10.886500973655282
