Mass Bin,Mass Center,LH2 Mass Bin Average,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LH2 (num),Corrected Yield LH2 (denom)
"[4.20, 4.50)",4.35,4.351550688790167,609,55,14,3,0.5861306141104631,0.5597383692238875,0.6246025270872383,3734.1243781306903,858.1134968162039
"[4.50, 4.80)",4.65,4.6536719201767625,456,17,13,1,0.5965501087330795,0.5539349680436731,0.6310486328788071,2987.1202069494775,641.8845716214598
"[4.80, 5.10)",4.949999999999999,4.941009693714485,286,15,6,1,0.5919242199746149,0.5530833070976027,0.5456368132690883,2038.288883286525,412.5247691538545
"[5.10, 5.40)",5.25,5.2426214528892805,184,6,4,0,0.5995102338732768,0.5742565264795809,0.5701448415459033,1374.7394985104695,262.22368158067786
"[5.40, 5.70)",5.550000000000001,5.539589916555656,120,2,2,0,0.5949316522257458,0.5495746552552403,0.4971860245657677,988.5648282535336,178.45451434935683
"[5.70, 6.00)",5.85,5.82800320362595,83,1,3,0,0.5546775545136053,0.574894295299499,0.49375265575680327,686.5085001403946,117.79480486786223
"[6.00, 6.30)",6.15,6.148044828884958,52,1,2,0,0.582996283974754,0.5434375361979974,0.49172443501038443,414.19764104421654,67.37062799188107
"[6.30, 6.60)",6.449999999999999,6.415316587426499,32,0,0,0,0.6289164972130907,0.5558300933346717,0.0,326.41874033730613,50.88115853503791
"[6.60, 6.90)",6.75,6.7310459460410215,23,0,1,0,0.6486669727963544,0.6166736814323518,0.4518265019121236,165.01334631289788,24.51526072407116
"[6.90, 7.50)",7.2,7.197778108132507,14,1,0,0,0.5378604654284345,0.5360543107309138,0.0,173.9691266045892,24.169837412468695
"[7.50, 8.70)",8.1,7.792908600936869,7,0,0,0,0.600058690115332,0.540607885838341,0.0,90.90837463927643,11.665525581597013
