Mass Bin,Mass Center,LD2 Mass Bin Average,N_LD2_total,N_LD2_mixed,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LD2 (num),Corrected Yield LD2 (denom)
"[4.20, 4.50)",4.35,4.343632324778449,1065,109,1002,67,22,6,0.676181479744253,0.6741419905320276,0.7085790456702539,5852.708637352775,1347.422663738303
"[4.50, 4.80)",4.65,4.645937217289342,828,44,657,40,30,0,0.6915651094870825,0.6674416915946733,0.6971697331185939,4947.2559690724975,1064.8563976848054
"[4.80, 5.10)",4.949999999999999,4.9362935076046615,532,24,476,17,14,2,0.6841663114340086,0.6739724760569857,0.7663283465719135,3499.0603631456565,708.8436612926562
"[5.10, 5.40)",5.25,5.251289272685424,367,11,366,12,6,0,0.6803494447830563,0.6787853843786817,0.6915256390951173,2612.339396853077,497.4662908861558
"[5.40, 5.70)",5.550000000000001,5.536709562742042,246,6,233,3,9,0,0.7014634768166198,0.679585278416784,0.6807296705808724,1764.3244124152775,318.65937564937036
"[5.70, 6.00)",5.85,5.84960699211065,160,2,125,2,5,0,0.7033276931833132,0.6781753593405412,0.7144785491686426,1255.9063996693867,214.69927832129994
"[6.00, 6.30)",6.15,6.139390781507703,105,2,72,1,2,0,0.6962190495969658,0.6708301954187675,0.7768534485960275,898.0618627645251,146.278660982056
"[6.30, 6.60)",6.449999999999999,6.413760407720051,51,0,55,0,1,0,0.6998485099041065,0.6851922941766552,0.8840534656292193,453.82476562175907,70.75798545195168
"[6.60, 6.90)",6.75,6.738357660303422,45,0,24,0,0,0,0.6929785932786924,0.6821508778822537,0.0,441.1795744424841,65.4728639652853
"[6.90, 7.50)",7.2,7.127262509245856,35,2,23,0,0,0,0.6806549751486556,0.6340376128830534,0.0,367.51353906604766,51.56447353935539
"[7.50, 8.70)",8.1,7.922271802003457,13,0,13,0,0,0,0.6820767585630736,0.6992808660226866,0.0,145.12133178588456,18.318146033462895
