Mass Bin,Mass Center,LH2 Mass Bin Average,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LH2 (num),Corrected Yield LH2 (denom)
"[4.20, 4.50)",4.35,4.415424069996313,3,2,0,0,1.5551024835303013,0.4996339376015902,0.0,2.839313882370427,0.64304443635757
"[4.50, 4.80)",4.65,4.6386383284668895,61,12,6,2,0.6435289793761386,0.6067184072305705,0.6357885129826012,210.1072928740178,45.295036602575586
"[4.80, 5.10)",4.949999999999999,4.965670769985188,131,34,4,3,0.6760612755605365,0.6124293506663914,1.0065744042333589,688.2767500220987,138.6070043512272
"[5.10, 5.40)",5.25,5.2529950270039265,148,29,9,1,0.6865114623631289,0.6736963724703782,0.6062131852244348,570.6591350335021,108.63500385968966
"[5.40, 5.70)",5.550000000000001,5.534705825736586,130,21,6,1,0.6676034675377461,0.6823520071832777,0.6237027229465429,686.1035669114005,123.96387242859298
"[5.70, 6.00)",5.85,5.8677503633020445,89,7,7,1,0.6698403602793292,0.671499336381539,0.6983562510703917,471.12989618584214,80.29140079516205
"[6.00, 6.30)",6.15,6.1140384012521105,70,2,2,1,0.6857252465045076,0.6586934153901102,0.6017432076962068,556.4805555891447,91.01685646514447
"[6.30, 6.60)",6.449999999999999,6.425487843552327,37,3,1,0,0.6541308947062787,0.6491554831124843,0.8069327916494423,294.9369444157602,45.90109756595609
"[6.60, 6.90)",6.75,6.725932343384973,11,2,0,0,0.5674831346269088,0.6851774111045323,0.0,106.66993853528771,15.859502161094252
"[6.90, 7.50)",7.2,7.162039224494748,12,0,1,1,0.6374208634543488,0.6853663942394547,0.0,134.83159341252437,18.825866374954987
"[7.50, 8.70)",8.1,7.745542912511595,10,0,0,0,0.6496516997171886,0.688709071063872,0.0,119.22608554527672,15.392863598068438
