Mass Bin,Mass Center,LD2 Mass Bin Average,N_LD2_total,N_LD2_mixed,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LD2 (num),Corrected Yield LD2 (denom)
"[3.90, 4.2)",4.05,4.075821107464672,364,61,395,84,15,3,0.7191223603820287,0.6801013174223312,0.6118665018371591,1610.4359238461443,395.11938364927437
"[4.20, 4.5)",4.35,4.354792141051196,599,89,548,92,23,3,0.6926130092967144,0.6787273294530718,0.6363952130450403,2922.652818310799,671.1348610097621
"[4.50, 4.8)",4.65,4.649694734011453,674,85,657,103,18,7,0.692618805314708,0.6744175028891654,0.7106824842635245,3845.3668012858207,827.0148947968224
"[4.80, 5.1)",4.949999999999999,4.94837114643715,565,71,525,41,12,3,0.6715267606973353,0.6911206117281521,0.7466772550960736,3351.5443802118757,677.3025468441273
"[5.10, 5.4)",5.25,5.239288735752022,418,32,388,42,6,0,0.6780851196460663,0.6711672395077062,0.5319878974883369,2841.760291972045,542.3942896256799
"[5.40, 5.7)",5.550000000000001,5.541156270073045,293,18,283,20,7,1,0.664026495326617,0.6688548020573832,0.6915660349779613,2138.4843045832536,385.92744913780666
"[5.70, 6.0)",5.85,5.8285380689745825,183,9,163,11,0,1,0.6709714247745445,0.6481247820515558,0.5396167183272095,1570.254303621727,269.40791756688014
"[6.00, 6.3)",6.15,6.143017026759356,135,3,103,2,1,1,0.671607619203301,0.6560875961298054,0.0,1222.7274045965867,199.04346663379113
"[6.30, 6.6)",6.449999999999999,6.436219354010519,71,0,61,3,2,0,0.6549904356505781,0.6608812048714544,0.5993733668239714,634.887173622133,98.64287382103034
"[6.60, 6.9)",6.75,6.717850866771604,36,1,40,1,1,0,0.6229964211447098,0.6561680854233737,0.7022369915402852,330.74958832592404,49.234434476940436
"[6.90, 7.5)",7.2,7.148669195880191,47,0,31,2,0,0,0.6826110562636288,0.6405115362047502,0.0,520.220853327347,72.77170604385394
"[7.50, 8.8)",8.15,7.6376404525963215,7,0,2,0,0,0,0.5348996189290152,0.5811329016977471,0.0,91.59060376777484,11.992002547938709
"[8.80, 10.0)",9.4,8.875073432922363,1,0,0,0,0,0,0.0,0.6822173869445134,0.0,13.009157495489333,1.4658084345794204
