Mass Bin,Mass Center,LH2 Mass Bin Average,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LH2 (num),Corrected Yield LH2 (denom)
"[3.90, 4.2)",4.05,4.05,0,0,0,0,0.0,0.0,0.0,0.0,0.0
"[4.20, 4.5)",4.35,4.35,0,0,0,0,0.0,0.0,0.0,0.0,0.0
"[4.50, 4.8)",4.65,4.797781380599862,1,0,0,0,0.6843997131997857,0.4242705896307824,0.0,7.010203669093771,1.461134452153235
"[4.80, 5.1)",4.949999999999999,5.058456838636496,22,7,1,0,0.7412925797033619,0.6222033746616347,0.6996161523861057,66.90617434773702,13.226597850298461
"[5.10, 5.4)",5.25,5.237607083454853,52,7,3,1,0.6472193886733986,0.6447249724615596,0.6274355322389555,282.3021020488836,53.89906068758985
"[5.40, 5.7)",5.550000000000001,5.572805267279225,70,11,2,0,0.6230865985915908,0.6223422565232529,0.41788437341915274,396.9141421518908,71.22340062416602
"[5.70, 6.0)",5.85,5.8337907923060515,57,8,0,0,0.6505436450177134,0.6714337477976374,0.0,439.4105622463087,75.32161811935892
"[6.00, 6.3)",6.15,6.095209818515568,33,5,1,0,0.6095764131704776,0.5964978307630893,0.6340144586239782,232.8373458592871,38.20005427081303
"[6.30, 6.6)",6.449999999999999,6.43448967582716,24,2,0,0,0.657169579876152,0.6025830399878335,0.0,215.40676440756008,33.476899530477425
"[6.60, 6.9)",6.75,6.7564699147206,14,1,0,0,0.6164150391129115,0.7219491856592358,0.0,142.4918331288131,21.089686615544647
"[6.90, 7.5)",7.2,7.081160662689688,15,0,0,0,0.6135673601872537,0.672493320918951,0.0,173.11450515869845,24.44719353295158
"[7.50, 8.8)",8.15,7.841802065265244,2,0,0,0,0.6860320579712141,0.5799136609244812,0.0,22.86132834216411,2.9153156572807273
"[8.80, 10.0)",9.4,9.4,0,0,0,0,0.0,0.0,0.0,0.0,0.0
