Mass Bin,Mass Center,LH2 Mass Bin Average,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LH2 (num),Corrected Yield LH2 (denom)
"[3.90, 4.2)",4.05,4.045282876615887,1555,179,38,9,0.6942044130167936,0.6896644922507229,0.7309064194201371,7231.284681232342,1787.584429023102
"[4.20, 4.5)",4.35,4.3409576186570895,1055,110,34,2,0.7045538084486344,0.6772333400407261,0.6862292690627307,4829.89258618683,1112.6329742147993
"[4.50, 4.8)",4.65,4.638125714503865,846,51,17,0,0.6853383930504863,0.6814781620017687,0.6881498968859429,4818.475219977295,1038.8841347938155
"[4.80, 5.1)",4.949999999999999,4.9423642042059095,577,20,5,0,0.678503045458463,0.6702589688970529,0.7086373278522254,3886.3257241514166,786.3292876806179
"[5.10, 5.4)",5.25,5.235146560634345,379,12,8,0,0.6756640230263006,0.6525178860628466,0.6524694191113283,2528.8450553758903,483.05143439374297
"[5.40, 5.7)",5.550000000000001,5.528983866381002,241,7,4,0,0.6778918300325635,0.6683546962304048,0.6685495519492004,1746.3397018065477,315.8518353481134
"[5.70, 6.0)",5.85,5.840021551510908,155,2,2,0,0.6735113768191604,0.6553033403959261,0.6708097581837293,1241.291246759882,212.54908664484975
"[6.00, 6.3)",6.15,6.135546282717627,88,2,1,0,0.6785136210340699,0.6388253380834966,0.727368592888301,736.306735879439,120.00671202716534
"[6.30, 6.6)",6.449999999999999,6.435685354977348,64,0,0,0,0.6622125943542004,0.651038047341102,0.0,621.9813187337905,96.64570040745564
"[6.60, 6.9)",6.75,6.718863753324617,25,1,0,0,0.6273153232051456,0.6391765051828958,0.0,257.0521141678819,38.25827157764403
"[6.90, 7.5)",7.2,7.1533606877326275,44,0,0,0,0.6548206157642205,0.6320169725292212,0.0,480.66273828734506,67.19397486997106
"[7.50, 8.8)",8.15,7.865036558278842,12,0,0,0,0.6572689470088071,0.6361021138880509,0.0,143.5948543269327,18.257366416915488
"[8.80, 10.0)",9.4,9.138272095728,1,0,0,0,0.6274390480833318,0.0,0.0,14.564398125432453,1.5937803091069132
