Mass Bin,Mass Center,LD2 Mass Bin Average,N_LD2_total,N_LD2_mixed,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LD2 (num),Corrected Yield LD2 (denom)
"[3.90, 4.20)",4.05,4.05,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
"[4.20, 4.50)",4.35,4.35,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
"[4.50, 4.80)",4.65,4.67316181746913,1,0,1,0,0,0,0.6843997131997857,0.4242705896307824,0.0,10.916997112666674,2.336105090959391
"[4.80, 5.10)",4.949999999999999,4.9316354060994145,14,3,22,7,2,0,0.7412925797033619,0.6222033746616347,0.6461977873214549,51.344106535592594,10.411172422051017
"[5.10, 5.40)",5.25,5.223015123395144,38,6,52,7,3,1,0.6472193886733986,0.6447249724615596,0.6274355322389555,216.50697501957515,41.452488630520754
"[5.40, 5.70)",5.550000000000001,5.540107439083992,54,8,70,11,2,0,0.6230865985915908,0.6223422565232529,0.41788437341915274,342.20939282068355,61.76945060785046
"[5.70, 6.00)",5.85,5.82935183142336,42,4,57,8,0,0,0.6505436450177134,0.6714337477976374,0.0,323.639062047159,55.5188760957212
"[6.00, 6.30)",6.15,6.117933042832309,32,2,33,5,1,0,0.6095764131704776,0.5964978307630893,0.6340144586239782,281.91856666807024,46.080688476700864
"[6.30, 6.60)",6.449999999999999,6.425516129038728,18,1,24,2,0,0,0.657169579876152,0.6025830399878335,0.0,178.2017691226297,27.733456043676465
"[6.60, 6.90)",6.75,6.706829155476014,9,1,14,1,0,0,0.6164150391129115,0.7219491856592358,0.0,72.29771691956591,10.779716501431386
"[6.90, 7.50)",7.2,7.151103913802795,10,1,15,0,0,0,0.6135673601872537,0.672493320918951,0.0,93.20501502636354,13.033654125269063
"[7.50, 8.80)",8.15,7.794362446851512,2,0,2,0,0,0,0.6860320579712141,0.5799136609244812,0.0,26.556375319397727,3.407126047894401
"[8.80, 10.00)",9.4,9.4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
