Mass Bin,Mass Center,LD2 Mass Bin Average,N_LD2_total,N_LD2_mixed,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LD2 (num),Corrected Yield LD2 (denom)
"[3.90, 4.20)",4.05,4.037143760871119,1721,238,1555,179,55,11,0.6942044130167936,0.6896644922507229,0.7415829445384603,8026.687340567599,1988.2094411311307
"[4.20, 4.50)",4.35,4.345612550702866,1170,132,1055,110,49,5,0.7045538084486344,0.6772333400407261,0.7551083721460795,6006.288013568701,1382.1499140776448
"[4.50, 4.80)",4.65,4.646780561590913,902,64,846,51,21,0,0.6853383930504863,0.6814781620017687,0.6854939815093831,5316.036497230925,1144.0257242125674
"[4.80, 5.10)",4.949999999999999,4.946702009069351,637,39,577,20,9,0,0.678503045458463,0.6702589688970529,0.6611581036128238,4203.54270463901,849.7667126364549
"[5.10, 5.40)",5.25,5.234325559630789,453,9,379,12,11,0,0.6756640230263006,0.6525178860628466,0.6777078698439387,3329.450244377659,636.0800845204797
"[5.40, 5.70)",5.550000000000001,5.53569406373158,280,8,241,7,5,0,0.6778918300325635,0.6683546962304048,0.6612154503236632,2131.163481531169,384.98577721156863
"[5.70, 6.00)",5.85,5.8437080819467,181,5,155,2,2,0,0.6735113768191604,0.6553033403959261,0.6708097581837293,1511.2338510140826,258.60871724287927
"[6.00, 6.30)",6.15,6.130667200728255,122,0,88,2,2,0,0.6785136210340699,0.6388253380834966,0.7676630203075308,1123.6876875664002,183.28962424072188
"[6.30, 6.60)",6.449999999999999,6.457728291504226,73,0,64,0,0,0,0.6622125943542004,0.651038047341102,0.0,715.1769120862009,110.74744551068929
"[6.60, 6.90)",6.75,6.719871297182763,34,0,25,1,1,0,0.6273153232051456,0.6391765051828958,0.5706150867444887,327.22491202800626,48.695115956341596
"[6.90, 7.50)",7.2,7.126995803033525,43,0,44,0,0,0,0.6548206157642205,0.6320169725292212,0.0,478.04943420347956,67.07586862896751
"[7.50, 8.80)",8.15,7.88027895067616,12,0,12,0,0,0,0.6572689470088071,0.6361021138880509,0.0,146.6045279851835,18.603976953455973
"[8.80, 10.00)",9.4,9.138272095728,0,0,1,0,0,0,0.6274390480833318,0.0,0.0,-0.20814194444093856,-0.022776947573955656
