Mass Bin,Mass Center,LH2 Mass Bin Average,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LH2 (num),Corrected Yield LH2 (denom)
"[3.90, 4.20)",4.05,4.108554500290877,143,30,10,0,0.7201818078592217,0.6948906190585469,0.6155898673526955,317.40793750071526,77.25537959353915
"[4.20, 4.50)",4.35,4.349592514522063,329,71,15,10,0.7042700753794127,0.6654203824312588,1.4093762721909382,1517.7556077538993,348.9420221978361
"[4.50, 4.80)",4.65,4.6491474787055065,427,81,31,6,0.7065214565333959,0.6836473703167272,0.6191364854262258,1356.3437121583372,291.7403068779382
"[4.80, 5.10)",4.949999999999999,4.950280505604582,433,63,13,10,0.6909648191345954,0.6619490996715037,1.2485713335716573,2592.4724218966917,523.702125356646
"[5.10, 5.40)",5.25,5.245049063413148,349,40,14,3,0.6786936185432918,0.6694804442483809,0.6826538212732639,1973.603346990269,376.2792917910232
"[5.40, 5.70)",5.550000000000001,5.552331762338238,247,19,7,0,0.6529888185121344,0.6671270836026242,0.6420131687596579,1641.8455489143084,295.7037906219931
"[5.70, 6.00)",5.85,5.837871185448919,157,16,5,1,0.6955277712122093,0.6405694751340723,0.592919396839489,990.3703613050047,169.64580578165797
"[6.00, 6.30)",6.15,6.14774799842441,97,4,4,0,0.6556856882524866,0.6639946994119564,0.5879340889332003,666.894326246382,108.47782414264518
"[6.30, 6.60)",6.449999999999999,6.471005420931184,75,2,2,1,0.6613248551003792,0.6466330357543277,0.6526321451070004,665.6827570545144,102.87161171296344
"[6.60, 6.90)",6.75,6.756358986017319,27,1,1,0,0.6641166242070723,0.6646809792931253,0.648274029882179,213.40889554689352,31.586376033090566
"[6.90, 7.50)",7.2,7.118682081546295,24,1,1,0,0.6348530462767599,0.6285895183920851,0.6952658987377331,207.69949703963147,29.176678303705863
"[7.50, 8.80)",8.15,7.744469874543884,9,0,0,0,0.6516442445951496,0.6896959555819722,0.0,106.96055316839019,13.811216894260268
"[8.80, 10.00)",9.4,9.4,0,0,0,0,0.0,0.0,0.0,0.0,0.0
