Target,xF bin,Mass bin,Raw Cross Section \pm stat. error \pm syst. error,Unfolded (clean) Cross Section (iter=3) \pm stat. error \pm syst. error,Unfolded (messy) Cross Section (iter=3) \pm stat. error \pm syst. error,Unfolded (clean) Cross Section (iter=4) \pm stat. error \pm syst. error,Unfolded (messy) Cross Section (iter=4) \pm stat. error \pm syst. error,Unfolding syst (clean) [%],Unfolding syst (messy) [%]
LH2,-0.05 <= xF < 0.00,4.50 <= Mass < 4.80,0.054967 \pm 0.054967 \pm 0.018316,-,-,-,-,-,-
LH2,-0.05 <= xF < 0.00,4.80 <= Mass < 5.10,0.209037 \pm 0.535377 \pm 0.072336,0.503004 \pm 0.446919 \pm 0.174061,0.543049 \pm 0.345677 \pm 0.187918,-,-,6.59,6.84
LH2,-0.05 <= xF < 0.00,5.10 <= Mass < 5.40,0.327848 \pm 0.119368 \pm 0.038073,0.327877 \pm 0.118108 \pm 0.038077,0.330705 \pm 0.119239 \pm 0.038405,-,-,3.96,3.51
LH2,-0.05 <= xF < 0.00,5.40 <= Mass < 5.70,0.302122 \pm 0.093319 \pm 0.027120,0.336176 \pm 0.063008 \pm 0.030177,0.291728 \pm 0.052132 \pm 0.026187,-,-,2.89,3.32
LH2,-0.05 <= xF < 0.00,5.70 <= Mass < 6.00,0.177762 \pm 0.029248 \pm 0.010969,0.163707 \pm 0.028742 \pm 0.010102,0.193576 \pm 0.034816 \pm 0.011945,-,-,2.92,2.10
LH2,-0.05 <= xF < 0.00,6.00 <= Mass < 6.30,0.093600 \pm 0.031194 \pm 0.005773,0.095364 \pm 0.021248 \pm 0.005881,0.087810 \pm 0.019830 \pm 0.005415,-,-,7.44,8.58
LH2,-0.05 <= xF < 0.00,6.30 <= Mass < 6.60,0.083622 \pm 0.019381 \pm 0.004719,0.068345 \pm 0.014420 \pm 0.003857,0.081462 \pm 0.014407 \pm 0.004597,-,-,2.79,4.01
LH2,-0.05 <= xF < 0.00,6.60 <= Mass < 6.90,0.058602 \pm 0.017459 \pm 0.003301,0.058801 \pm 0.011611 \pm 0.003312,0.050204 \pm 0.010747 \pm 0.002828,-,-,3.61,4.35
LH2,-0.05 <= xF < 0.00,6.90 <= Mass < 7.50,0.044300 \pm 0.011438 \pm 0.002076,0.036569 \pm 0.009588 \pm 0.001714,0.031951 \pm 0.008497 \pm 0.001498,-,-,3.25,3.60
LH2,-0.05 <= xF < 0.00,7.50 <= Mass < 8.80,0.005821 \pm 0.004116 \pm 0.000531,0.006405 \pm 0.003562 \pm 0.000584,0.006072 \pm 0.003092 \pm 0.000554,-,-,18.73,19.25
