Mass Bin,Mass Center,LH2 Mass Bin Average,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LH2 (num),Corrected Yield LH2 (denom)
"[4.20, 4.50)",4.35,4.3729594068991835,95,14,3,1,0.6183875012662015,0.6566197634397831,0.735571014878917,514.5977604012709,117.677232399961
"[4.50, 4.80)",4.65,4.649296409448815,138,20,4,1,0.6568404201142425,0.6328138046927928,0.49866375774269067,698.328713107393,150.20094474685934
"[4.80, 5.10)",4.949999999999999,4.933616574148742,112,9,7,1,0.6695988718033669,0.6571355124044319,0.657971234093117,538.6960617719471,109.18887872126444
"[5.10, 5.40)",5.25,5.2661741678311715,90,6,4,1,0.6546702254178369,0.6555049890391698,0.74055148528626,571.2758177372228,108.48023622669089
"[5.40, 5.70)",5.550000000000001,5.551875728640227,57,6,2,0,0.687162989829086,0.6505059391051989,0.540625860671313,311.51926476728113,56.11063359366274
"[5.70, 6.00)",5.85,5.839814414930774,42,1,0,0,0.6720746329567593,0.6425476957564844,0.0,356.25863448943267,61.005129474419405
"[6.00, 6.30)",6.15,6.1152051251092585,22,2,1,1,0.6487700584780165,0.6467843678741305,0.0,188.5168726637982,30.827563230829487
"[6.30, 6.60)",6.449999999999999,6.43135087411436,16,0,0,0,0.6298959892018017,0.696805705044388,0.0,163.36286585381455,25.401019016290373
"[6.60, 6.90)",6.75,6.699574225651265,8,0,0,0,0.5534512481871746,0.6984720785543361,0.0,96.84067744135614,14.454751030382422
"[6.90, 7.50)",7.2,7.021018389066692,4,0,0,0,0.6593462815805581,0.7019341869038006,0.0,42.5938150268244,6.066614936253774
"[7.50, 8.70)",8.1,8.1,0,0,0,0,0.0,0.6833260728944667,0.0,0.0,0.0
