Mass Bin,Mass Center,LD2 Mass Bin Average,N_LD2_total,N_LD2_mixed,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LD2 (num),Corrected Yield LD2 (denom)
"[4.20, 4.50)",4.35,4.350551315458666,300,34,229,26,4,1,0.5100923637112253,0.5063345264763484,0.5326767440007399,2210.7519730312288,508.1544412947939
"[4.50, 4.80)",4.65,4.640604452449385,196,11,178,9,5,0,0.5392440481025735,0.5119309975623627,0.5177028305408801,1564.8538600043667,337.20905887128816
"[4.80, 5.10)",4.949999999999999,4.925078779533458,141,4,110,3,4,0,0.5289628227300538,0.5023892267992847,0.47192043603603884,1243.7502932807774,252.53409111936992
"[5.10, 5.40)",5.25,5.226092906447389,70,1,91,2,5,0,0.5300061944838776,0.5160659713657366,0.44362242022697707,566.2306683163212,108.34684312974362
"[5.40, 5.70)",5.550000000000001,5.555589410964164,63,1,55,1,0,0,0.5304891883246328,0.4902877018626332,0.0,694.4018058494985,124.9915633576287
"[5.70, 6.00)",5.85,5.830719061927829,42,0,31,1,0,0,0.5139810999806467,0.5106154909792885,0.0,474.7007548391349,81.41375871438112
"[6.00, 6.30)",6.15,6.103552356875534,26,0,23,1,1,0,0.5209613309985318,0.5611502624951109,0.6328631260348302,259.4592761744647,42.50955197954333
"[6.30, 6.60)",6.449999999999999,6.3541630228350945,7,0,9,0,1,0,0.4911904362618491,0.5585209587679913,0.5880210462746644,55.967528729191784,8.808009572316614
"[6.60, 6.90)",6.75,6.736984283635567,9,0,9,0,0,0,0.5125129974988974,0.511418333469126,0.0,116.85583107093872,17.34542135637554
"[6.90, 7.50)",7.2,7.177014737188544,5,0,15,0,0,0,0.5615540729489713,0.5419214639412727,0.0,63.45951628149039,8.842049042015681
"[7.50, 8.70)",8.1,7.873066297810419,5,0,5,0,0,0,0.5182023145203304,0.575971944275763,0.0,67.25277831825159,8.542132858319164
