Mass Bin,Mass Center,LH2 Mass Bin Average,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LH2 (num),Corrected Yield LH2 (denom)
"[4.20, 4.50)",4.35,4.328091197851128,229,26,4,1,0.5100923637112253,0.5063345264763484,0.5326767440007399,1615.2939127156335,373.2116165938503
"[4.50, 4.80)",4.65,4.6501013121966635,178,9,5,0,0.5392440481025735,0.5119309975623627,0.5177028305408801,1259.940846117138,270.9491173477152
"[4.80, 5.10)",4.949999999999999,4.92133225749811,110,3,4,0,0.5289628227300538,0.5023892267992847,0.47192043603603884,812.1469058484015,165.02582295902084
"[5.10, 5.40)",5.25,5.213502913986097,91,2,5,0,0.5300061944838776,0.5160659713657366,0.44362242022697707,617.1788469767564,118.38083859530806
"[5.40, 5.70)",5.550000000000001,5.534829069066931,55,1,0,0,0.5304891883246328,0.4902877018626332,0.0,563.4059587029966,101.7928379851442
"[5.70, 6.00)",5.85,5.839900636672974,31,1,0,0,0.5139810999806467,0.5106154909792885,0.0,340.8627653950428,58.36790496990962
"[6.00, 6.30)",6.15,6.130007462149738,23,1,1,0,0.5209613309985318,0.5611502624951109,0.6328631260348302,216.29180102552198,35.28410077166046
"[6.30, 6.60)",6.449999999999999,6.442026773069031,9,0,1,0,0.4911904362618491,0.5585209587679913,0.5880210462746644,69.8808556063191,10.847650602517959
"[6.60, 6.90)",6.75,6.734144740634495,9,0,0,0,0.5125129974988974,0.511418333469126,0.0,118.25515247706636,17.560530257614317
"[6.90, 7.50)",7.2,7.1636528968811035,15,0,0,0,0.5615540729489713,0.5419214639412727,0.0,191.35253153614119,26.711586154523463
"[7.50, 8.70)",8.1,7.653536701202392,5,0,0,0,0.5182023145203304,0.575971944275763,0.0,73.84699456897278,9.648741157453548
