Mass Bin,Mass Center,LD2 Mass Bin Average,N_LD2_total,N_LD2_mixed,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LD2 (num),Corrected Yield LD2 (denom)
"[4.20, 4.50)",4.35,4.34609262434964,552,84,540,81,30,3,0.6837416245864527,0.6544818286168207,0.6706079642737245,2709.222012576977,623.3695981070794
"[4.50, 4.80)",4.65,4.653373236428551,514,66,487,62,23,3,0.6919842099614503,0.66820412261092,0.6558766594798143,2789.606494038248,599.4804956112358
"[4.80, 5.10)",4.949999999999999,4.942769791741619,419,31,384,26,9,2,0.6910233012133368,0.6721959720011561,0.6858408239994004,2713.3821918838357,548.9598557507888
"[5.10, 5.40)",5.25,5.239950473918562,294,11,273,11,8,2,0.6875804081102483,0.6665028754269327,0.7466343430293291,2110.3690987010878,402.74600097945256
"[5.40, 5.70)",5.550000000000001,5.5535455590012655,189,12,188,7,7,0,0.6954101196343976,0.6971443023270159,0.6741109090842997,1271.6970944056525,228.98832482691492
"[5.70, 6.00)",5.85,5.848035556182733,128,3,93,4,3,0,0.6749904524176402,0.6838874405092382,0.6967367229991916,1006.4905543094237,172.10746149539554
"[6.00, 6.30)",6.15,6.127017721477647,85,6,60,2,0,0,0.6980580405648047,0.7048111877588755,0.0,679.4311092022258,110.89099788638575
"[6.30, 6.60)",6.449999999999999,6.431533562424305,50,0,45,0,2,0,0.7421007639775136,0.6683639059607692,0.6398440876115503,434.56414734232334,67.56773374879482
"[6.60, 6.90)",6.75,6.732318984230761,33,0,25,0,0,0,0.6931860383296159,0.6909729218644788,0.0,318.0327955294704,47.239709864372834
"[6.90, 7.50)",7.2,7.14184185331966,21,0,19,0,0,0,0.7165591360162628,0.7088609726998684,0.0,208.85167275036682,29.243390856280122
"[7.50, 8.70)",8.1,7.779520419520917,10,0,9,0,0,0,0.7320171709963987,0.7239228756664111,0.0,106.08687147883973,13.63668526566742
