Mass Bin,Mass Center,LH2 Mass Bin Average,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LH2 (num),Corrected Yield LH2 (denom)
"[4.20, 4.50)",4.35,4.33780595411603,159,15,5,0,0.5127077659163344,0.5003132984357072,0.5521006831871816,1045.6459848087925,241.05411718949912
"[4.50, 4.80)",4.65,4.633758291305406,130,5,3,0,0.5079886763552477,0.5192732010871348,0.5650209110801828,1032.0772720905309,222.7300621241031
"[4.80, 5.10)",4.949999999999999,4.948064368398445,84,1,2,0,0.5233130995208163,0.4970228438379253,0.42150585508202487,681.5878435547654,137.74837851904846
"[5.10, 5.40)",5.25,5.259269157147531,43,2,1,0,0.5186612448608775,0.5329351639031985,0.4707024285555328,366.6308144543714,69.71136169292785
"[5.40, 5.70)",5.550000000000001,5.58120399315151,25,0,1,0,0.5382792631988094,0.4997842377377935,0.6003267104413715,218.34976013890554,39.12233998378029
"[5.70, 6.00)",5.85,5.828938624438118,17,0,0,0,0.520875331452163,0.48291553059342013,0.0,190.2412163370969,32.63736824050626
"[6.00, 6.30)",6.15,6.128295294443766,15,0,0,0,0.5387473392965304,0.43038053338044846,0.0,170.626233693677,27.8423648821844
"[6.30, 6.60)",6.449999999999999,6.475062587044456,11,0,0,0,0.5496234898104415,0.4688855170942912,0.0,129.58996436279295,20.0137006585977
"[6.60, 6.90)",6.75,7.760240956927646,4,0,1,0,0.44850398102318373,0.5312301634562536,0.5645598770968974,8.790132493400264,1.1327138605861489
"[6.90, 7.50)",7.2,7.167964935302734,3,0,0,0,0.45012185404306865,0.42930910633603536,0.0,47.77349647158137,6.664861910288304
"[7.50, 8.70)",8.1,8.069806098937988,2,0,0,0,0.45827010636437165,0.5277720959816957,0.0,35.218557732071076,4.364238409235874
