Mass Bin,Mass Center,LD2 Mass Bin Average,N_LD2_total,N_LD2_mixed,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LD2 (num),Corrected Yield LD2 (denom)
"[4.20, 4.50)",4.35,4.427695729257065,32,4,32,9,0,1,0.5097422330686839,0.4898098671132393,0.367010966967698,274.78992252199146,62.06160931661381
"[4.50, 4.80)",4.65,4.661417493752804,97,17,99,16,6,1,0.511352864013961,0.5005802524828473,0.4839423539890178,636.0483156549641,136.4495491998713
"[4.80, 5.10)",4.949999999999999,4.962580158720412,163,19,138,33,8,3,0.5173302152027232,0.4962303575477249,0.37913939982987105,1292.3793369394302,260.42487891473513
"[5.10, 5.40)",5.25,5.2361392779968625,139,20,136,13,5,2,0.48215302939506555,0.48291952223989193,0.4152523432491926,1194.0605225117388,228.04216219560504
"[5.40, 5.70)",5.550000000000001,5.542141094306868,114,16,87,8,6,1,0.5104219830670067,0.4935738449151418,0.5008205549124531,975.4394676878535,176.0040841778402
"[5.70, 6.00)",5.85,5.822340908999891,71,4,78,6,5,0,0.5077209604123457,0.49320692007639844,0.5003538379673664,660.6345205580006,113.46544815622596
"[6.00, 6.30)",6.15,6.139048014690309,58,2,52,4,0,0,0.47780374601972,0.5080021005630947,0.0,667.867946412134,108.79014870285637
"[6.30, 6.60)",6.449999999999999,6.4475068735935395,29,2,28,0,1,0,0.5134367286531459,0.5010997784910546,0.42629259413674114,311.5570575416885,48.322097773591224
"[6.60, 6.90)",6.75,6.755409784052947,26,0,10,0,0,0,0.5302067304341513,0.5024769645417914,0.0,347.7162202836197,51.47226169823932
"[6.90, 7.50)",7.2,7.061501578504976,11,1,11,1,0,0,0.44801933054775434,0.5246243831846777,0.0,132.332997130128,18.740064794851303
"[7.50, 8.70)",8.1,7.8131013658900885,1,0,7,0,0,0,0.49256788254793943,0.4386004694534265,0.0,16.215930746788857,2.075479375908685
