Mass Bin,Mass Center,LH2 Mass Bin Average,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LH2 (num),Corrected Yield LH2 (denom)
"[4.20, 4.50)",4.35,4.328095374224203,229,26,4,1,0.5104202206137223,0.5059803982952169,0.5343332213744626,1614.5212572613848,373.0327355715405
"[4.50, 4.80)",4.65,4.650115709429724,178,9,5,0,0.5391339887767583,0.5125938387113246,0.5146587625994244,1259.0746292210017,270.76199989342
"[4.80, 5.10)",4.949999999999999,4.921324315076389,110,3,4,0,0.5300319548227991,0.5031295623706433,0.4721288454900864,810.2185029432065,164.63424295389692
"[5.10, 5.40)",5.25,5.213243763285399,91,2,5,0,0.5305946117399933,0.5154231307288581,0.44066120287277555,614.4417663564816,117.8616988301462
"[5.40, 5.70)",5.550000000000001,5.53482906906693,55,1,0,0,0.5295205286456051,0.48897331282687645,0.0,564.4366054968337,101.97904911849199
"[5.70, 6.00)",5.85,5.839900636672973,31,1,0,0,0.5134270530474933,0.5113381676328711,0.0,341.2305955837178,58.43089066291356
"[6.00, 6.30)",6.15,6.130061799775295,23,1,1,0,0.5197194142348707,0.5624578265790027,0.6328631260348302,216.91231212447576,35.38501229015782
"[6.30, 6.60)",6.449999999999999,6.442047890460748,9,0,1,0,0.4901879060661762,0.5596944947687489,0.5880210462746644,70.12249255159364,10.885124380312288
"[6.60, 6.90)",6.75,6.734144740634495,9,0,0,0,0.5110722322201177,0.5133815230797203,0.0,118.58852593581531,17.610035201684994
"[6.90, 7.50)",7.2,7.163652896881103,15,0,0,0,0.5627517953756206,0.5462441760089921,0.0,190.9452698973507,26.654735041738842
"[7.50, 8.70)",8.1,7.653536701202393,5,0,0,0,0.5180843843979359,0.5730507339690473,0.0,73.86380415708284,9.650937473845081
