Mass Bin,Mass Center,LH2 Mass Bin Average,LD2 Mass Bin Average,N_LD2_total,N_LD2_mixed,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,Corrected Total Mass LH2 (num),Corrected Yield LH2 (denom),Corrected Total Mass LD2 (num),Corrected Yield LD2 (denom)
"[4.20, 4.50)",4.35,4.337800609673202,4.339129716685697,175,17,159,15,5,0,1043.5577850276063,240.57301820201116,1272.1659775417406,293.184592442524
"[4.50, 4.80)",4.65,4.633773439230788,4.655755085425635,139,9,130,5,3,0,1031.7333053793095,222.65510364498493,1097.6752545832924,235.76739636057155
"[4.80, 5.10)",4.949999999999999,4.948086124041631,4.957726209970452,85,5,84,1,2,0,681.6890407813452,137.76822466148525,738.373038093973,148.93380691516117
"[5.10, 5.40)",5.25,5.259270796722194,5.25024540336716,59,1,43,2,1,0,366.3535757557405,69.65862567564841,542.7367286299785,103.37359245758363
"[5.40, 5.70)",5.550000000000001,5.581139574137596,5.533485222338447,42,1,25,0,1,0,218.90998503576958,39.223169771667244,432.01064641219534,78.0720701427351
"[5.70, 6.00)",5.85,5.828938624438118,5.846499004948808,25,0,17,0,0,0,189.99925030772724,32.595857076131466,300.8615297305027,51.46011817941582
"[6.00, 6.30)",6.15,6.128295294443766,6.143081658694467,10,1,15,0,0,0,170.70122828173865,27.854602312735377,124.70414440051346,20.29993272578696
"[6.30, 6.60)",6.449999999999999,6.475062587044456,6.4636181789451275,7,0,11,0,0,0,129.12526557916078,19.94193320038626,94.0441701790252,14.549771904127752
"[6.60, 6.90)",6.75,7.742923619908341,6.809253807523286,4,0,4,0,1,0,8.923661358032554,1.1524924945776736,25.934846088250264,3.8087647811858387
"[6.90, 7.50)",7.2,7.1679649353027335,7.009911776164491,3,1,3,0,0,0,47.90883063179315,6.683742326338509,31.216455952143203,4.453188135446613
"[7.50, 8.70)",8.1,8.069806098937988,7.902722536866762,1,0,2,0,0,0,35.554191593509955,4.405829725969376,14.472708486893572,1.8313572847050315
