Mass Bin,Mass Center,LD2 Mass Bin Average,N_LD2_total,N_LD2_mixed,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LD2 (num),Corrected Yield LD2 (denom)
"[4.20, 4.50)",4.35,4.220797926281525,10,4,11,0,0,0,0.669861743551732,0.7524554687013828,0.0,33.216131667214036,7.869633241711969
"[4.50, 4.80)",4.65,4.556968990041916,9,0,4,1,0,0,0.6419873471889238,0.6843736513621432,0.0,59.79217943148813,13.121041543655126
"[4.80, 5.10)",4.949999999999999,4.939483654978838,7,0,5,0,0,0,0.652856747429972,0.6536066173032965,0.0,52.660725959138176,10.661180325206235
"[5.10, 5.40)",5.25,5.26110498992433,6,0,0,0,0,0,0.0,0.5112166264456778,0.0,61.74805025223543,11.736707473143118
"[5.40, 5.70)",5.550000000000001,5.464549633555225,2,0,2,0,0,0,0.5875342265081622,0.7902450156518105,0.0,13.711909772730067,2.5092479146921254
"[5.70, 6.00)",5.85,5.950676571410046,1,0,2,0,0,0,0.633894572115543,0.8307864214613884,0.0,7.04349893018209,1.183646740947491
"[6.00, 6.30)",6.15,6.15,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
"[6.30, 6.60)",6.449999999999999,6.550799412598655,1,0,0,0,0,0,0.0,0.7002464796627305,0.0,9.354990853725974,1.4280685859094129
"[6.60, 6.90)",6.75,6.748663080099005,1,0,0,0,0,0,0.0,0.7192961198864457,0.0,9.38231542409044,1.3902480110109152
"[6.90, 7.50)",7.2,7.4364153167207565,0,0,1,0,0,0,0.7255987114261417,0.0,0.0,-0.0650698325206205,-0.008750161166269343
"[7.50, 8.70)",8.1,8.1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
