Cut Name,J/Psi MC,Psi Prime MC,DY MC,Data,empty flask (RS67) mixed,empty flask (RS67),Mixed(RS67),Data(RS67),Total MC,Purity (DY MC),Efficiency (DY MC)
Total Events,1.4853e+05,2.3292e+04,5.4838e+04,6.1466e+05,1.7950e+06,3.7438e+06,7.9452e+06,1.6517e+07,2.2666e+05,2.4194e+01,1.0000e+02
Good Spills Cut,1.4853e+05,2.3292e+04,5.4838e+04,6.1428e+05,1.7950e+06,3.7438e+06,7.9452e+06,1.6517e+07,2.2666e+05,2.4194e+01,1.0000e+02
z1_v and z2_v within -320cm to -5cm,1.1484e+05,1.9834e+04,4.5248e+04,6.1428e+05,1.9644e+04,4.1811e+04,1.6552e+05,4.0413e+05,1.7992e+05,2.5149e+01,8.2512e+01
xt^2 + (yt - beamOffset)^2 < 320cm^2,1.1424e+05,1.9743e+04,4.4623e+04,6.1414e+05,1.6855e+04,3.6651e+04,1.4564e+05,3.6799e+05,1.7861e+05,2.4984e+01,8.1373e+01
xd^2 + (yd - beamOffset)^2 within 16cm^2 to 1100cm^2,9.0383e+04,1.8477e+04,4.1405e+04,5.1535e+05,3.0450e+03,9.6780e+03,3.1598e+04,1.5508e+05,1.5026e+05,2.7554e+01,7.5504e+01
abs(abs(px_st1 - px_st3) - 0.416) < 0.008GeV,9.0356e+04,1.8469e+04,4.1169e+04,5.1535e+05,3.0400e+03,9.6620e+03,3.1552e+04,1.5493e+05,1.4999e+05,2.7447e+01,7.5075e+01
abs(py_st1 - py_st3) < 0.008GeV,9.0113e+04,1.8422e+04,4.0831e+04,5.1535e+05,3.0170e+03,9.6290e+03,3.1417e+04,1.5440e+05,1.4937e+05,2.7336e+01,7.4458e+01
abs(pz_st1 - pz_st3) < 0.08GeV,9.0113e+04,1.8422e+04,4.0820e+04,5.1535e+05,3.0170e+03,9.6290e+03,3.1415e+04,1.5439e+05,1.4935e+05,2.7331e+01,7.4438e+01
chisq1_target and chisq2_target < 15,8.9794e+04,1.8373e+04,4.0629e+04,5.1535e+05,2.7060e+03,8.9950e+03,2.9149e+04,1.4993e+05,1.4880e+05,2.7305e+01,7.4089e+01
nHits Track1 and Track2 > 13,8.9794e+04,1.8373e+04,4.0629e+04,5.1535e+05,2.7060e+03,8.9950e+03,2.9149e+04,1.4993e+05,1.4880e+05,2.7305e+01,7.4089e+01
chisq/NDF < 12,8.9613e+04,1.8340e+04,4.0473e+04,5.1535e+05,2.7060e+03,8.9950e+03,2.9149e+04,1.4993e+05,1.4843e+05,2.7268e+01,7.3805e+01
pz1_st1 and pz2_st1 within 9 to 75,8.9603e+04,1.8336e+04,4.0427e+04,5.1535e+05,2.6860e+03,8.9680e+03,2.8970e+04,1.4963e+05,1.4837e+05,2.7248e+01,7.3721e+01
y1_st1/y1_st3 and y2_st1/y2_st3 < 1,8.4313e+04,1.7387e+04,3.8883e+04,5.1535e+05,2.3970e+03,8.3310e+03,2.6426e+04,1.4016e+05,1.4058e+05,2.7658e+01,7.0905e+01
y1_st1 x y1_st3 and y2_st1 x y2_st3 > 0,7.8878e+04,1.6265e+04,3.7470e+04,5.1535e+05,2.1460e+03,7.8300e+03,2.3973e+04,1.3441e+05,1.3261e+05,2.8255e+01,6.8329e+01
abs(py1_st1) and abs(py2_st1) > 0.02,7.5892e+04,1.5747e+04,3.6642e+04,5.1535e+05,2.0670e+03,7.5860e+03,2.3043e+04,1.3048e+05,1.2828e+05,2.8564e+01,6.6819e+01
dz within -280 to -5,7.5835e+04,1.5737e+04,3.6608e+04,5.1535e+05,2.0220e+03,7.4110e+03,2.2790e+04,1.2965e+05,1.2818e+05,2.8560e+01,6.6758e+01
dx within -0.25 to 0.25,7.4901e+04,1.5665e+04,3.6491e+04,5.1535e+05,1.8810e+03,7.1700e+03,2.1800e+04,1.2747e+05,1.2706e+05,2.8720e+01,6.6543e+01
dy - beamOffset within -0.22 to 0.22,7.4596e+04,1.5650e+04,3.6410e+04,4.3573e+05,1.8300e+03,7.1010e+03,2.1402e+04,1.2669e+05,1.2666e+05,2.8747e+01,6.6395e+01
dx^2 + (dy - beamOffset)^2 < 0.06,7.3714e+04,1.5555e+04,3.6184e+04,4.3573e+05,1.7300e+03,6.9150e+03,2.0498e+04,1.2409e+05,1.2545e+05,2.8842e+01,6.5983e+01
abs(dpx) < 1.8,7.3709e+04,1.5552e+04,3.6118e+04,4.3573e+05,1.6730e+03,6.8150e+03,1.9903e+04,1.2306e+05,1.2538e+05,2.8807e+01,6.5863e+01
abs(dpy) < 2,7.2546e+04,1.5456e+04,3.5764e+04,4.3573e+05,1.6640e+03,6.7820e+03,1.9776e+04,1.2279e+05,1.2377e+05,2.8897e+01,6.5218e+01
dpz within 38 to 116,7.2425e+04,1.5441e+04,3.5750e+04,4.3573e+05,1.6470e+03,6.7500e+03,1.9619e+04,1.2243e+05,1.2362e+05,2.8920e+01,6.5192e+01
dpx^2 + dpy^2 < 5,7.2399e+04,1.5438e+04,3.5725e+04,4.3573e+05,1.6440e+03,6.7440e+03,1.9590e+04,1.2239e+05,1.2356e+05,2.8913e+01,6.5147e+01
mass within 4.2 to 8.8,5.6897e+02,9.4787e+02,2.0946e+04,1.1776e+05,5.6100e+02,2.7790e+03,5.3780e+03,3.4124e+04,2.2463e+04,9.3247e+01,3.8196e+01
