Cut Name,Data,Data(RS67),Mixed(RS67),empty flask (RS67),empty flask (RS67) mixed,DY MC,J/Psi MC,Psi Prime MC,Total MC,Purity (DY MC),Efficiency (DY MC)
Total Events,614663.0,16517271.0,7945229.0,3743819.0,1795005.0,19093900.0,60526336.0,6666208.0,86286450.0,22.128504,100.0
Good Spills Cut,614275.0,16517271.0,7945229.0,3743819.0,1795005.0,19093900.0,60526336.0,6666208.0,86286450.0,22.128504,100.0
z1_v and z2_v within -320cm to -5cm,614275.0,404129.0,165518.0,41811.0,19644.0,15754751.0,46795548.0,5676454.0,68226750.0,23.09175,82.51196
xt^2 + (yt - beamOffset)^2 < 320cm^2,614142.0,367988.0,145638.0,36651.0,16855.0,15537355.0,46552896.0,5650449.0,67740700.0,22.936512,81.3734
xd^2 + (yd - beamOffset)^2 within 16cm^2 to 1100cm^2,515349.0,155083.0,31598.0,9678.0,3045.0,14416623.0,36831090.0,5288198.0,56535910.0,25.499939,75.503815
abs(abs(px_st1 - px_st3) - 0.416) < 0.008GeV,515349.0,154930.0,31552.0,9662.0,3040.0,14334761.0,36819730.0,5285913.0,56440400.0,25.398048,75.07508
abs(py_st1 - py_st3) < 0.008GeV,515349.0,154405.0,31417.0,9629.0,3017.0,14217031.0,36720760.0,5272350.0,56210144.0,25.292645,74.458496
abs(pz_st1 - pz_st3) < 0.08GeV,515349.0,154393.0,31415.0,9629.0,3017.0,14213099.0,36720760.0,5272350.0,56206210.0,25.28742,74.437904
chisq1_target and chisq2_target < 15,515349.0,149927.0,29149.0,8995.0,2706.0,14146469.0,36590950.0,5258301.5,55995720.0,25.263483,74.08894
nHits Track1 and Track2 > 13,515349.0,149927.0,29149.0,8995.0,2706.0,14146469.0,36590950.0,5258301.5,55995720.0,25.263483,74.08894
chisq/NDF < 12,515349.0,149927.0,29149.0,8995.0,2706.0,14092320.0,36517136.0,5248952.5,55858410.0,25.228647,73.80535
pz1_st1 and pz2_st1 within 9 to 75,515349.0,149630.0,28970.0,8968.0,2686.0,14076278.0,36513132.0,5247779.0,55837188.0,25.209505,73.72134
y1_st1/y1_st3 and y2_st1/y2_st3 < 1,515349.0,140164.0,26426.0,8331.0,2397.0,13538511.0,34357364.0,4976376.5,52872252.0,25.606081,70.9049
y1_st1 x y1_st3 and y2_st1 x y2_st3 > 0,515349.0,134408.0,23973.0,7830.0,2146.0,13046650.0,32142712.0,4654987.5,49844348.0,26.174784,68.328896
abs(py1_st1) and abs(py2_st1) > 0.02,515349.0,130481.0,23043.0,7586.0,2067.0,12758414.0,30925708.0,4506858.0,48190976.0,26.474697,66.81932
dz within -280 to -5,515349.0,129648.0,22790.0,7411.0,2022.0,12746655.0,30902630.0,4504056.0,48153340.0,26.470968,66.75774
dx within -0.25 to 0.25,515349.0,127469.0,21800.0,7170.0,1881.0,12705619.0,30522130.0,4483316.5,47711064.0,26.630342,66.542816
dy - beamOffset within -0.22 to 0.22,435734.0,126689.0,21402.0,7101.0,1830.0,12677475.0,30397908.0,4479079.5,47554464.0,26.658854,66.39542
dx^2 + (dy - beamOffset)^2 < 0.06,435734.0,124086.0,20498.0,6915.0,1730.0,12598759.0,30038434.0,4451821.5,47089012.0,26.7552,65.98316
abs(dpx) < 1.8,435734.0,123062.0,19903.0,6815.0,1673.0,12575881.0,30036276.0,4451054.5,47063212.0,26.721254,65.86334
abs(dpy) < 2,435734.0,122787.0,19776.0,6782.0,1664.0,12452705.0,29562310.0,4423490.0,46438504.0,26.815474,65.21824
dpz within 38 to 116,435734.0,122429.0,19619.0,6750.0,1647.0,12447641.0,29512932.0,4419231.5,46379804.0,26.838493,65.19172
dpx^2 + dpy^2 < 5,435734.0,122387.0,19590.0,6744.0,1644.0,12439113.0,29502348.0,4418473.0,46359932.0,26.831604,65.14706
mass within 4.2 to 8.8,117763.0,34124.0,5378.0,2779.0,561.0,7293185.0,231852.44,271285.12,7796322.5,93.54647,38.196415
xF within -0.1 to 0.95,117466.0,33963.0,5342.0,2763.0,554.0,7267002.0,231852.44,271272.88,7770127.5,93.52487,38.059284
xT within -0.1 to 0.58,117466.0,33963.0,5342.0,2763.0,554.0,7266931.0,231852.44,271272.88,7770056.5,93.52481,38.058914
cosTheta within -0.5 to 0.5,109850.0,31384.0,4174.0,2542.0,428.0,7085917.0,219329.67,269918.3,7575165.0,93.54142,37.110893
abs(trackSeparation) < 270,109850.0,31346.0,4154.0,2532.0,423.0,7085917.0,219329.67,269918.3,7575165.0,93.54142,37.110893
nhits1 + nhits2 > 29,109850.0,30791.0,3964.0,2451.0,399.0,7026751.0,201351.12,267196.47,7495298.5,93.74879,36.801025
nhits1st1 + nhits2st1 > 8,109850.0,30278.0,3803.0,2385.0,374.0,6994705.5,197541.9,264505.38,7456753.0,93.803635,36.633194
y1_st3 x y2_st3 < 0,109850.0,30278.0,3803.0,2385.0,374.0,5838749.5,107737.98,176201.25,6122689.0,95.3625,30.579134
