,N (dimuon events),$<\epsilon_t>$,$\delta <\epsilon_t>$ (propagated),$\delta_{stat} <\epsilon_t>$,$1/<\epsilon_t>$,$\delta(1/<\epsilon_t>)$,$<\epsilon_t^2>$,$(<\epsilon_t>)^2$,$\%\ of\ events\ removed$
"[0.0, 0.05)",460,0.6062154683913044,0.04945223282864871,0.010176141236878617,1.6495784950088286,0.13456492626422506,0.4151319653344232,0.3674971941168885,0.6479481641468683
"[0.05, 0.1)",730,0.6283457938191781,0.029807141993656045,0.007696712009444118,1.5914803756731672,0.07549582093877827,0.4380631809123676,0.39481843661025307,0.0
"[0.1, 0.15)",1153,0.6456051675368604,0.022037423712067558,0.005830430916284403,1.548934318192095,0.05287213236286988,0.456001027494306,0.41680603235029756,0.25951557093425603
"[0.15, 0.2)",1797,0.6543749397173068,0.016895928038342237,0.004589515834447097,1.5281758809895822,0.039457424403025854,0.4660579508335981,0.42820656173002886,0.11117287381878821
"[0.2, 0.25)",2553,0.671735296057971,0.014269611945338047,0.003693135402858998,1.488681636752492,0.0316239289363998,0.48604931093222026,0.45122830797008995,0.03915426781519186
"[0.25, 0.3)",3806,0.6921769398791383,0.01136182617487592,0.0030164230398144745,1.4447173004269847,0.02371449537477161,0.5137389791776487,0.47910891610044826,0.15739769150052466
"[0.3, 0.35)",5658,0.7107241104347826,0.007974537703063831,0.0024104647368009373,1.407015725677653,0.015787138481001002,0.5380036662728804,0.505128761153313,0.0353356890459364
"[0.35, 0.4)",8201,0.7302428639565907,0.006200364311805866,0.001937372732746208,1.369407425061048,0.011627398699475995,0.5640363812384551,0.5332546403595237,0.04875076173065204
"[0.4, 0.45)",12710,0.7476617470500393,0.0047435068126444515,0.0014729149048002019,1.3375032278240555,0.008485729941581097,0.5865721574082237,0.558998088001917,0.08647118937190472
"[0.45, 0.5)",18034,0.7581290028457359,0.003763913690172368,0.0012543943203047643,1.319036728902825,0.006548674939385938,0.6031361761242688,0.5747595849558699,0.06095871432529787
"[0.5, 0.55)",23306,0.7668435370508883,0.003233617565695939,0.0010259946148848621,1.3040469817947222,0.005498891264104579,0.6125824196361205,0.5880490103167171,0.06860475087899837
"[0.55, 0.6)",25691,0.7621328301950099,0.0031738852624649165,0.0010307451597674484,1.3121072343047158,0.005464241466501,0.6081414834594657,0.5808464508610558,0.05835213568816619
"[0.6, 0.65)",25674,0.7725134892146919,0.00316755657831233,0.0010408499095789642,1.2944757780431282,0.005307771739202534,0.6245914947675196,0.5967770910186578,0.0389347453667653
"[0.65, 0.7)",21582,0.7764930699664535,0.0035393524675339664,0.0010495702634088463,1.2878415000448138,0.005870142525770615,0.6267161700838204,0.6029414877059277,0.08795889079209296
"[0.7, 0.75)",16163,0.7683368655224897,0.005200904789945279,0.0012917481710059949,1.3015124548526942,0.008809992939768268,0.6173113362916612,0.5903415389209244,0.12975778546712802
"[0.75, 0.8)",10751,0.7420159963259233,0.017764777646375594,0.002784481291445754,1.3476798410701105,0.03226511670052644,0.6339438548105377,0.5505877388035526,0.12077294685990338
"[0.8, 0.85)",6495,0.0,0.0,0.0,,,0.0,0.0,0.1076591817902184
