,$<\epsilon_t>$,$\delta <\epsilon_t>$,$1/<\epsilon_t>$,$\delta(1/<\epsilon_t>)$,$\%\ of\ events\ removed$
"[0.0, 0.05)",0.4933146714285714,0.4258791241988589,2.027103708681799,1.7500009671588763,0.0
"[0.05, 0.1)",0.5499677885714286,0.30289930344714905,1.818288308479947,1.0014373087836572,0.0
"[0.1, 0.15)",0.6310072773913044,0.1421269089288019,1.5847677765844108,0.35695015497616245,0.0
"[0.15, 0.2)",0.6422625799999999,0.12104550375738678,1.5569955827101123,0.29344277640645283,0.0
"[0.2, 0.25)",0.6778193126086957,0.0856728979088792,1.4753194271661287,0.18647283769495887,0.0
"[0.25, 0.3)",0.6829132198095238,0.11163147173928537,1.4643148953521754,0.2393622236563436,0.0
"[0.3, 0.35)",0.6965927372727272,0.06758610284874556,1.4355590382913854,0.13928345160081887,0.0
"[0.35, 0.4)",0.705364896,0.080173004826021,1.4177059358508253,0.16113893033435964,0.0
"[0.4, 0.45)",0.7064185034482758,0.07800422985244775,1.4155914590552912,0.1563126121559696,0.0
"[0.45, 0.5)",0.8063995117241379,0.06764144926978605,1.2400801159488934,0.10401893234543816,0.0
"[0.5, 0.55)",0.7444232738888888,0.0902678431730744,1.3433217835546314,0.1628895338742229,0.0
"[0.55, 0.6)",0.7775872552941177,0.10534597208920991,1.2860293082115346,0.17422868840296837,0.0
"[0.6, 0.65)",0.8459196744444444,0.07868130823022694,1.18214533863011,0.10995457910677814,0.0
"[0.65, 0.7)",0.7786753588235295,0.12971414032217593,1.284232239621479,0.21393136311415675,0.0
"[0.7, 0.75)",0.8491105833333332,0.10495635711936181,1.177702904225176,0.1455728017322838,0.0
"[0.75, 0.8)",0.8938695033333334,0.23538340224736828,1.1187315332617287,0.29459650823590267,0.0
"[0.8, 0.85)",0.0,0.0,,,0.0
