,N (dimuon events),$<\epsilon_t>$,$\delta <\epsilon_t>$ (propagated),$\delta_{stat} <\epsilon_t>$,$1/<\epsilon_t>$,$\delta(1/<\epsilon_t>)$,$<\epsilon_t^2>$,$(<\epsilon_t>)^2$,$\%\ of\ events\ removed$
"[0.0, 0.05)",1573,0.6294237089891925,0.023361202449097177,0.005183871492996366,1.5887548970882037,0.05896699514620502,0.438444685148443,0.3961742054377117,0.4430379746835443
"[0.05, 0.1)",2546,0.6310738721437549,0.01576631167844186,0.004048111493551968,1.5846005422518996,0.03958856029026089,0.4399760602696356,0.39825423210251226,0.11769321302471558
"[0.1, 0.15)",4074,0.6499373618213058,0.011371110291346348,0.0030087694666048916,1.5386098087940676,0.0269190584491355,0.4592992484379694,0.42241857429123897,0.07358351729212656
"[0.15, 0.2)",6305,0.6658154445659001,0.008784355173168074,0.002427093888760933,1.5019176983074976,0.019815368673825225,0.48045160403883375,0.44331020622248724,0.06340148993501347
"[0.2, 0.25)",9407,0.6665755490141383,0.007862789189482014,0.001958832417089929,1.500205042742709,0.01769611263048831,0.4804178514340459,0.4443229625434999,0.15920186796858415
"[0.25, 0.3)",13757,0.6973737530935523,0.005810215282987713,0.0015622265995442594,1.4339513002374933,0.011947059554135974,0.5199048246568749,0.4863301515037869,0.15241689650166934
"[0.3, 0.35)",20072,0.7043334949098247,0.00428695783026179,0.0012805994164315207,1.4197819743444535,0.008641567519034084,0.5290024446694893,0.496085672051888,0.09456970782937633
"[0.35, 0.4)",29180,0.7240862979479095,0.0033483814820538613,0.001027250591774074,1.3810508537919326,0.00638637289190114,0.5550929803267082,0.5243009668759088,0.07875903160634182
"[0.4, 0.45)",43182,0.740256301057524,0.002680740987767246,0.0008169908488402678,1.350883469105779,0.004892047092548368,0.5768022555567537,0.5479793912553677,0.07636237417563346
"[0.45, 0.5)",59775,0.750203509060644,0.0021385919236963026,0.0007024659855453486,1.3329716375922247,0.003799878758552336,0.5923017845041049,0.5628053050069038,0.06854353350274174
"[0.5, 0.55)",74206,0.7591096970999109,0.0018844682555485266,0.0005880720452955942,1.317332664594303,0.0032702409123597136,0.6019100990034956,0.5762475322311186,0.07540868815814279
"[0.55, 0.6)",80758,0.7533259008566334,0.0018752100347093719,0.0005975941801634989,1.3274467250666209,0.003304335370065487,0.5963401132882383,0.5674999129014583,0.06434847172379655
"[0.6, 0.65)",78958,0.762436702374275,0.0019009313150275724,0.0006113039838823506,1.3115842887493983,0.0032700834561319243,0.6108157423359332,0.5813097251273588,0.05948990570217075
"[0.65, 0.7)",66215,0.7666212330557729,0.002142070761333427,0.0006174121731033154,1.3044251279265682,0.0036447867687442945,0.6129491267358718,0.5877081149719536,0.08902435344177204
"[0.7, 0.75)",49252,0.7586269377271989,0.0031253709048274896,0.0007617417224287865,1.318170961600626,0.005430565362360668,0.6040933258919229,0.5755148306453474,0.12572494626272457
"[0.75, 0.8)",33300,0.7276560267819819,0.010624169186118483,0.001637345671406929,1.3742757060948756,0.02006516413324364,0.6187572915397181,0.5294832933121404,0.14992503748125938
"[0.8, 0.85)",20510,0.0,0.0,0.0,,,0.0,0.0,0.14119480013632602
