,N (dimuon events),$<\epsilon_t>$,$\delta <\epsilon_t>$ (propagated),$\delta_{stat} <\epsilon_t>$,$1/<\epsilon_t>$,$\delta(1/<\epsilon_t>)$,$<\epsilon_t^2>$,$(<\epsilon_t>)^2$,$\%\ of\ events\ removed$
"[0.0, 0.05)",948,0.6431369949999999,0.02609014680061652,0.006134725603257095,1.554878677131612,0.06307678342078919,0.44930303993707055,0.41362519433762984,0.0
"[0.05, 0.1)",1485,0.6400111350464647,0.019048320609438646,0.004993520482185405,1.5624728153009404,0.04650307080551618,0.4466430944903817,0.40961425298346404,0.0
"[0.1, 0.15)",2389,0.6591839800209292,0.013760887256733577,0.0036233555433404637,1.517027158287812,0.031668912357273454,0.4658879967011993,0.43452351951623275,0.0
"[0.15, 0.2)",3753,0.6705622586943778,0.010767260611651914,0.0029547605942658907,1.491285838166699,0.023945671051142377,0.4824197227511634,0.4496537427853057,0.02663825253063399
"[0.2, 0.25)",5608,0.6744958028423681,0.008945629867851872,0.002372264652204203,1.4825889142466662,0.019663119647507415,0.48650439081715763,0.4549445880519707,0.035650623885918005
"[0.25, 0.3)",8174,0.7027632000048936,0.006906330511105885,0.001906156269322755,1.4229544176374584,0.013983933009545823,0.5235757861855612,0.493876115281118,0.02446183953033268
"[0.3, 0.35)",11954,0.7090628923774469,0.005219842008877322,0.001550888075728089,1.4103121327461627,0.010382162986212336,0.5315225895520197,0.5027701853466708,0.0
"[0.35, 0.4)",17329,0.728116053337873,0.004097044740588344,0.0012522743688162083,1.3734074333559059,0.007728042357699061,0.5573281706100061,0.5301529871283203,0.023077366872439855
"[0.4, 0.45)",26159,0.7461377324817463,0.0032066751142681496,0.0009797289454189946,1.3402351288064154,0.0057599266833977475,0.5818307239420214,0.556721515833002,0.030572858944472044
"[0.45, 0.5)",37148,0.7559493193921611,0.0025255396607641654,0.000839953431732341,1.3228400030891934,0.004419456181709994,0.5976680961077792,0.5714593734894716,0.005383580080753701
"[0.5, 0.55)",45660,0.7642211730642137,0.002235770829013067,0.0007010109145545933,1.308521714977367,0.003828151826448714,0.6064720697237871,0.5840340013596428,0.010949304719150335
"[0.55, 0.6)",48513,0.7593911912287429,0.0022076762766157928,0.0007253676747881908,1.316844350514439,0.003828285166071363,0.6022004971591762,0.5766749813158092,0.010305453646069499
"[0.6, 0.65)",46756,0.7688220431909488,0.0022623888170086462,0.0007366673177217945,1.3006911142265916,0.0038275034610030026,0.6164608211234502,0.5910873340963052,0.0064158771573386945
"[0.65, 0.7)",38851,0.7721224323560268,0.002539078789860482,0.0007482840365292645,1.295131391207785,0.0042589627081082914,0.6179268521001445,0.5961730505473872,0.01801430850790056
"[0.7, 0.75)",28866,0.7641486472659876,0.0037409708066776836,0.0009314729326711248,1.3086459075441068,0.006406614935348627,0.6089685040186522,0.5839231551184388,0.02424410348768746
"[0.75, 0.8)",19401,0.7437610774887893,0.012809130133592103,0.002033184958276181,1.3445177897401777,0.02315542431160785,0.6333811910748334,0.5531805403872848,0.02576522724930434
"[0.8, 0.85)",12161,0.0,0.0,0.0,,,0.0,0.0,0.032881216605014384
