,$<\epsilon_t>$,$\delta <\epsilon_t>$,$1/<\epsilon_t>$,$\delta(1/<\epsilon_t>)$,$\%\ of\ events\ removed$
"[0.0, 0.05)",0.625213228907563,0.01645819691280347,1.599454320164183,0.042104250097670784,2.088607594936709
"[0.05, 0.1)",0.6294441970590567,0.011834851981063398,1.5887031839713288,0.029870903746501185,1.0200078462142017
"[0.1, 0.15)",0.6472593608287485,0.008643897456162846,1.5449757245991835,0.020632550943098044,1.030169242089772
"[0.15, 0.2)",0.6628895852271708,0.00662835321305827,1.5085468564984352,0.015084233673536535,1.0619749564114758
"[0.2, 0.25)",0.6633103242184712,0.005619454337173781,1.5075899823784966,0.012772050661412985,1.2842284016132457
"[0.25, 0.3)",0.6945289167158698,0.004355209695213276,1.4398248596020629,0.00902876617088838,1.1685295398461315
"[0.3, 0.35)",0.7011883598135414,0.0033760681222239335,1.426150314682802,0.0068666008890686326,1.1248817878652133
"[0.35, 0.4)",0.720912812173901,0.0026508403892496913,1.3871302924753357,0.005100562706545939,1.1505667225969936
"[0.4, 0.45)",0.7373251090519365,0.0021315485858837213,1.356253825786314,0.003920822563836722,1.1778317713756798
"[0.45, 0.5)",0.7468553725782545,0.0017305875716192008,1.3389473206142348,0.0031025626609722684,1.1936605590477465
"[0.5, 0.55)",0.7561684669647629,0.001506536227257755,1.3224566266482514,0.002634768446533906,1.1378632409576903
"[0.55, 0.6)",0.7502241981117383,0.0014895732814319707,1.3329348780230361,0.002646547772238315,1.147135255537681
"[0.6, 0.65)",0.7596658668605719,0.00154142980242366,1.3163682134787014,0.002671028518899714,1.0758812733371306
"[0.65, 0.7)",0.7639661124993138,0.0016694928367246217,1.3089585828990526,0.002860463235168881,1.0743277906871473
"[0.7, 0.75)",0.7559607365475997,0.0022922876978487723,1.322820024445852,0.004011166085626867,0.9936326398183072
"[0.75, 0.8)",0.7236411441779661,0.007077492434966931,1.3819004185230084,0.01351552469986273,0.9295352323838081
"[0.8, 0.85)",0.0,0.0,,,0.6864988558352403
