,$<\epsilon_t>$,$\delta <\epsilon_t>$,$1/<\epsilon_t>$,$\delta(1/<\epsilon_t>)$,$\%\ of\ events\ removed$
"[0.0, 0.05)",0.6062154683913044,0.04945223282864871,1.6495784950088286,0.13456492626422506,0.6479481641468683
"[0.05, 0.1)",0.6283457938191781,0.029807141993656045,1.5914803756731672,0.07549582093877827,0.0
"[0.1, 0.15)",0.6456051675368604,0.022037423712067558,1.548934318192095,0.05287213236286988,0.25951557093425603
"[0.15, 0.2)",0.6543749397173068,0.016895928038342237,1.5281758809895822,0.039457424403025854,0.11117287381878821
"[0.2, 0.25)",0.671735296057971,0.014269611945338047,1.488681636752492,0.0316239289363998,0.03915426781519186
"[0.25, 0.3)",0.6921769398791383,0.01136182617487592,1.4447173004269847,0.02371449537477161,0.15739769150052466
"[0.3, 0.35)",0.7107241104347826,0.007974537703063831,1.407015725677653,0.015787138481001002,0.0353356890459364
"[0.35, 0.4)",0.7302428639565907,0.006200364311805866,1.369407425061048,0.011627398699475995,0.04875076173065204
"[0.4, 0.45)",0.7476617470500393,0.0047435068126444515,1.3375032278240555,0.008485729941581097,0.08647118937190472
"[0.45, 0.5)",0.7581290028457359,0.003763913690172368,1.319036728902825,0.006548674939385938,0.06095871432529787
"[0.5, 0.55)",0.7668435370508883,0.003233617565695939,1.3040469817947222,0.005498891264104579,0.06860475087899837
"[0.55, 0.6)",0.7621328301950099,0.0031738852624649165,1.3121072343047158,0.005464241466501,0.05835213568816619
"[0.6, 0.65)",0.7725134892146919,0.00316755657831233,1.2944757780431282,0.005307771739202534,0.0389347453667653
"[0.65, 0.7)",0.7764930699664535,0.0035393524675339664,1.2878415000448138,0.005870142525770615,0.08795889079209296
"[0.7, 0.75)",0.7683368655224897,0.005200904789945279,1.3015124548526942,0.008809992939768268,0.12975778546712802
"[0.75, 0.8)",0.7420159963259233,0.017764777646375594,1.3476798410701105,0.03226511670052644,0.12077294685990338
"[0.8, 0.85)",0.0,0.0,,,0.1076591817902184
